日期,价格,URL
2009-01-02,874.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-05,853.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-06,848.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-07,848.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-08,855.75,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-09,847.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-12,827.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-13,826.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-14,821.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-15,810.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-16,833.75,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-19,833.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-20,853.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-21,849.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-22,860.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-23,875.75,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-26,910.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-27,897.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-28,895.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-29,892.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-01-30,919.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-02,918.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-03,904.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-04,905.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-05,920.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-06,913.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-09,895.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-10,909.75,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-11,938.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-12,943.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-13,935.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-16,942.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-17,968.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-18,964.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-19,980.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-20,989.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-23,985.75,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-24,984.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-25,978.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-26,936.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-02-27,952.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-02,937.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-03,913.75,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-04,908.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-05,913.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-06,936.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-09,923.75,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-10,901.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-11,899.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-12,925.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-13,928.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-16,919.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-17,915.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-18,893.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-19,956.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-20,954.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-23,949.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-24,923.75,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-25,929.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-26,938.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-27,924.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-30,928.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-03-31,916.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-04-01,924.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-04-02,897.75,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-04-03,905.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-04-06,870.25,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-04-07,879.75,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-04-08,880.00,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-04-09,880.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
2009-04-14,887.50,https://www.lbma.org.uk/prices-and-data/precious-metal-prices#/table
